,0
0,2251.0793
1,2248.5364
2,2248.1829
3,2247.78
4,2248.1553
5,2247.6633
6,2246.8262
7,2246.1553
8,2245.946
9,2246.4297
10,2246.8496
11,2243.9001
12,2242.6345
13,2244.197
14,2240.336
15,2235.5876
16,2233.8225
17,2233.6233
18,2234.32
19,2234.0947
20,2235.3967
21,2236.283
22,2236.1084
23,2236.5637
24,2235.141
25,2233.862
26,2233.9844
27,2236.4531
28,2236.8374
29,2235.6414
30,2235.777
31,2237.9353
32,2239.713
33,2240.125
34,2240.291
35,2238.6245
36,2239.125
37,2241.073
38,2237.5989
39,2235.0593
40,2235.574
41,2233.694
42,2233.2666
43,2233.5505
44,2234.821
45,2237.354
46,2238.1328
47,2238.5452
48,2235.7756
49,2233.4912
50,2235.8948
51,2236.5845
52,2236.6562
53,2235.8372
54,2234.6252
55,2234.896
56,2234.3257
57,2234.8796
58,2234.5977
59,2232.634
60,2232.233
61,2232.3022
62,2229.1584
63,2225.6099
64,2223.9858
65,2223.3015
66,2224.1814
67,2225.395
68,2228.4912
69,2230.223
70,2230.5054
71,2231.7795
72,2232.2185
73,2232.8767
74,2236.321
75,2237.2737
76,2236.89
77,2237.8972
78,2236.242
79,2234.9434
80,2236.438
81,2240.7148
82,2243.074
83,2241.5415
84,2242.6062
85,2245.1274
86,2242.2239
87,2238.868
88,2237.8228
89,2236.275
90,2234.6138
91,2234.0137
92,2237.5532
93,2240.8503
94,2240.9575
95,2240.49
96,2238.5718
97,2239.0818
98,2239.0242
99,2236.3027
100,2235.2754
101,2237.1155
102,2238.456
103,2240.5203
104,2244.1504
105,2245.9297
106,2245.8345
107,2244.3835
108,2245.3215
109,2247.1501
110,2244.9983
111,2240.9268
112,2239.9575
113,2240.128
114,2237.107
115,2235.2114
116,2237.8125
